županija,mjesec,broj dolazaka domaćih turista,broj dolazaka stranih turista,broj noćenja domaćih turista,broj noćenja stranih turista
Zagrebačka,9,4358,15306,7498,23990
Istra,10,37130,160949,85350,739888
Kvarner,10,34262,117432,90194,478987
Ličko-senjska,10,7763,33283,15337,64847
Zadarska,10,21062,77201,59564,324177
Šibensko-kninska,10,14200,36705,34229,169639
Splitsko-dalmatinska,10,30002,193862,73678,819658
Dubrovačko-neretvanska,10,13738,167004,33979,597413
Grad Zagreb,10,30564,105308,51754,200055
Bjelovarsko-bilogorska,10,1560,718,3898,3453
Brodsko-posavska,10,2629,2426,4246,4425
Karlovačka,10,4104,18653,7249,27941
Koprivničko-križevačka,10,972,646,1888,2268
Krapinsko-zagorska,10,9056,9779,17386,21096
Međimurska,10,4624,4334,8881,9606
Osječko-baranjska,10,11082,4875,19734,12489
Požeško-slavonska,10,2006,588,4227,1333
Sisačko-moslavačka,10,1069,1114,2350,2416
Varaždinska,10,4488,3558,8527,8605
Virovitičko-podravska,10,1359,507,2093,1265
Vukovarsko-srijemska,10,9547,1916,17008,4792
Zagrebačka,10,4700,10662,8035,17747
Istra,11,21664,30972,48711,118156
Kvarner,11,27696,33418,70099,135737
Ličko-senjska,11,4729,6361,8952,11957
Zadarska,11,11577,11506,24746,46882
Šibensko-kninska,11,10748,4765,22777,19056
Splitsko-dalmatinska,11,18277,23330,37420,85401
Dubrovačko-neretvanska,11,11354,22855,26244,70659
Grad Zagreb,11,34754,64327,59090,131523
Bjelovarsko-bilogorska,11,1385,588,3001,2812
Brodsko-posavska,11,2385,1525,4572,2965
Karlovačka,11,3720,3542,6726,6018
Koprivničko-križevačka,11,1265,479,2239,1488
Krapinsko-zagorska,11,10426,4920,22055,12721
Međimurska,11,5622,2541,10718,7027
Osječko-baranjska,11,11983,3225,21453,7368
Požeško-slavonska,11,2170,388,4320,804
Sisačko-moslavačka,11,907,937,1752,1887
Varaždinska,11,4838,2596,8649,6676
Virovitičko-podravska,11,959,402,1617,1024
Vukovarsko-srijemska,11,8806,990,14365,2332
Zagrebačka,11,4124,5397,7666,10646
Istra,12,16771,45669,39367,146199
Kvarner,12,24987,44045,55966,150855
Ličko-senjska,12,4439,3863,8074,7617
Zadarska,12,7929,10819,15950,42928
Šibensko-kninska,12,9146,4350,16381,15381
Splitsko-dalmatinska,12,15456,21497,30720,76058
Dubrovačko-neretvanska,12,9387,18661,19169,51067
Grad Zagreb,12,47165,83896,76990,166085
Bjelovarsko-bilogorska,12,1351,624,2736,2550
Brodsko-posavska,12,1800,1747,3142,3128
Karlovačka,12,3886,2795,6512,4994
Koprivničko-križevačka,12,1159,478,1965,1817
Krapinsko-zagorska,12,9969,5256,20799,13711
Međimurska,12,5325,3071,9997,7420
Osječko-baranjska,12,8589,3246,14084,7423
Požeško-slavonska,12,1540,305,3218,748
Sisačko-moslavačka,12,759,916,1563,1889
Varaždinska,12,5541,4042,9295,7468
Virovitičko-podravska,12,855,401,1398,895
Vukovarsko-srijemska,12,5756,1109,7764,2476
Zagrebačka,12,5354,5824,8669,10831
